gene,R1L1Kidney,R1L2Liver,R1L3Kidney,R1L4Liver,R1L6Liver,R1L7Kidney,R1L8Liver,R2L2Kidney,R2L3Liver,R2L6Kidney
ENSG00000135624,238,80,218,61,65,218,66,233,88,260
ENSG00000158828,363,238,376,225,199,345,201,388,232,415
ENSG00000117280,208,62,208,57,46,215,42,228,42,200
ENSG00000163527,392,241,386,250,250,407,268,418,238,442
ENSG00000151418,149,0,145,1,0,158,0,185,0,169
ENSG00000163082,133,2,160,1,2,151,1,188,2,165
ENSG00000177133,142,2,160,1,3,140,3,176,0,180
ENSG00000117448,399,316,446,294,330,448,292,501,352,513
ENSG00000118004,36,202,43,203,189,43,184,41,221,46
ENSG00000038219,463,324,479,339,325,459,272,451,313,491
ENSG00000131389,208,35,201,37,22,162,30,169,24,190
ENSG00000138759,166,8,177,8,9,136,8,184,14,168
ENSG00000164089,3,168,10,152,148,5,152,3,190,5
ENSG00000134121,206,51,195,36,44,205,52,211,39,193
ENSG00000114378,311,436,296,434,453,274,443,322,509,326
ENSG00000183726,235,79,213,69,67,226,75,244,82,232
ENSG00000082898,344,193,368,210,213,351,200,359,215,383
ENSG00000158195,213,47,212,69,52,186,44,223,59,208
ENSG00000196660,1,159,4,157,170,3,153,3,149,3
ENSG00000145390,169,55,194,53,44,231,46,196,64,227
ENSG00000170509,1,150,4,177,151,0,154,1,142,1
ENSG00000178772,188,336,167,349,330,174,301,215,346,167
ENSG00000079785,263,117,293,138,122,289,150,286,126,282
ENSG00000127481,440,312,471,320,325,444,299,469,319,500
ENSG00000170266,226,59,197,77,70,189,55,233,53,222
ENSG00000084676,335,183,330,160,179,309,169,310,164,330
ENSG00000158710,191,71,218,61,64,228,77,226,60,227
ENSG00000007923,246,100,203,100,88,234,94,278,125,278
ENSG00000071575,218,53,210,58,47,190,52,202,58,208
ENSG00000119844,281,137,332,128,166,276,147,304,167,289
ENSG00000168653,236,78,221,81,91,210,70,231,82,252
ENSG00000117305,240,400,215,393,369,246,362,236,409,258
ENSG00000125633,201,60,195,67,65,197,67,236,48,220
ENSG00000131368,324,155,278,163,143,303,177,336,183,308
ENSG00000047315,314,147,264,139,135,286,141,288,134,283
ENSG00000177463,256,122,285,125,138,293,128,279,133,272
ENSG00000129055,205,76,243,83,85,205,87,245,92,254
ENSG00000138069,386,256,422,240,261,382,250,415,259,390
ENSG00000162402,347,168,304,171,179,303,175,325,208,343
ENSG00000174059,162,11,157,12,9,134,19,171,20,178
ENSG00000115363,41,210,40,175,169,42,198,46,196,48
ENSG00000073711,170,6,162,8,12,140,7,146,4,154
ENSG00000138074,52,216,58,209,178,33,176,51,204,63
ENSG00000115762,144,10,163,8,11,152,9,163,10,160
ENSG00000138674,396,248,387,280,254,398,240,389,252,426
ENSG00000184005,152,3,166,6,1,151,3,145,11,141
ENSG00000138668,353,213,358,208,200,305,218,354,201,380
ENSG00000052795,150,36,190,38,54,206,42,185,35,189
ENSG00000196776,207,68,235,82,88,215,73,248,84,206
ENSG00000117528,183,315,199,353,369,206,304,215,350,187
ENSG00000097033,268,130,256,125,131,266,109,285,134,275
ENSG00000144713,386,232,376,267,223,331,240,410,253,403
ENSG00000042493,147,9,142,4,1,134,4,148,4,171
ENSG00000143641,121,285,136,284,257,115,252,135,285,146
ENSG00000010322,234,79,209,82,88,205,74,221,91,252
ENSG00000153130,259,122,280,125,112,223,107,261,123,268
ENSG00000009724,10,162,12,145,132,10,139,9,174,9
ENSG00000163486,148,28,173,23,27,161,23,197,34,154
ENSG00000109572,192,53,200,56,55,185,48,203,52,190
ENSG00000122218,321,231,356,221,202,341,204,349,229,397
ENSG00000143921,0,129,0,139,151,2,110,0,164,1
ENSG00000163346,165,37,172,48,31,148,42,206,44,196
ENSG00000215908,80,186,75,232,224,58,199,88,231,86
ENSG00000125944,228,96,235,90,85,224,81,222,99,240
ENSG00000138085,208,72,190,75,64,198,61,222,66,215
ENSG00000169903,2,148,3,140,120,4,131,3,168,4
ENSG00000123091,335,199,336,195,199,330,175,331,197,330
ENSG00000204120,290,160,307,154,155,260,153,291,158,318
ENSG00000168679,162,18,148,11,17,142,21,172,12,150
ENSG00000145476,150,308,183,305,280,166,320,152,297,172
ENSG00000144749,79,219,59,199,219,65,211,88,218,83
ENSG00000163840,88,210,91,220,218,83,198,89,257,71
ENSG00000138246,187,54,204,70,51,179,48,186,48,204
ENSG00000074964,152,295,140,321,239,139,284,155,287,180
ENSG00000143365,114,240,89,230,229,94,242,103,257,111
ENSG00000198836,252,105,236,114,96,222,85,242,127,256
ENSG00000187942,203,69,191,79,80,184,64,219,79,245
ENSG00000143158,381,247,370,246,232,389,260,387,254,395
ENSG00000091483,272,171,292,183,192,297,175,325,162,352
ENSG00000008952,817,938,779,922,915,753,925,838,957,836
ENSG00000114439,213,88,239,86,97,208,74,212,98,244
ENSG00000154277,147,4,142,3,3,131,6,154,6,127
ENSG00000213512,5,127,5,153,141,2,141,1,132,2
ENSG00000143157,201,54,208,66,66,164,58,221,69,185
ENSG00000173473,250,125,257,141,115,244,144,262,133,305
ENSG00000168036,502,430,513,403,400,528,362,540,408,562
ENSG00000187957,135,0,134,1,1,124,0,153,0,128
ENSG00000187098,140,11,164,24,17,146,15,169,23,139
ENSG00000197386,247,91,232,101,94,197,91,233,104,235
ENSG00000172053,260,127,262,136,119,251,118,253,139,280
ENSG00000132716,342,475,387,501,485,379,460,436,588,421
ENSG00000115484,218,113,243,105,123,253,100,260,133,258
ENSG00000162368,148,296,158,270,290,142,276,160,296,154
ENSG00000114902,267,146,287,138,163,276,117,276,154,273
ENSG00000174827,162,43,164,36,36,178,32,174,40,176
ENSG00000109390,182,72,199,59,60,192,48,209,68,188
ENSG00000084693,211,99,193,82,93,207,55,223,85,233
ENSG00000181789,329,238,306,199,171,307,174,329,200,348
ENSG00000075151,197,47,214,61,77,172,79,188,70,215
ENSG00000163788,220,91,226,97,100,208,126,230,99,272
ENSG00000114770,131,13,162,17,14,146,11,155,16,138
ENSG00000142661,126,0,144,2,2,124,2,144,3,134
ENSG00000001617,136,12,130,5,7,112,5,153,4,156
ENSG00000162889,234,120,264,156,126,249,110,252,132,286
ENSG00000091527,252,127,255,117,114,246,125,252,127,264
ENSG00000180867,244,113,225,115,111,215,108,232,109,281
ENSG00000123983,262,125,268,127,149,260,115,257,147,269
ENSG00000142937,385,285,388,299,280,435,307,464,344,443
ENSG00000143222,214,72,218,71,79,188,65,184,75,209
ENSG00000143036,143,14,149,12,18,144,12,145,20,152
ENSG00000164062,203,73,215,76,57,170,77,213,73,200
ENSG00000162365,67,203,86,200,198,54,167,71,229,82
ENSG00000115109,228,86,203,90,92,224,85,222,88,215
ENSG00000197622,245,136,274,134,130,236,145,278,139,288
ENSG00000155368,634,479,638,536,505,584,477,614,479,622
ENSG00000119013,173,30,155,35,33,142,32,170,33,166
ENSG00000181788,52,172,62,170,187,54,180,53,212,62
ENSG00000077684,232,94,239,100,112,210,103,247,116,233
ENSG00000158882,82,196,77,222,204,74,219,92,217,96
ENSG00000175166,228,126,238,123,113,216,85,272,122,235
ENSG00000174607,131,0,126,0,0,116,2,124,2,144
ENSG00000162613,179,44,157,35,52,163,38,173,39,169
ENSG00000115457,351,276,375,255,259,392,273,401,287,432
ENSG00000157827,128,20,148,18,16,144,14,144,14,149
ENSG00000152127,121,2,123,6,6,125,4,152,2,127
ENSG00000169641,149,21,176,30,27,143,31,145,38,159
ENSG00000181555,283,160,288,159,147,260,164,288,163,298
ENSG00000135220,183,39,164,50,50,168,52,183,50,171
ENSG00000179348,130,7,119,10,3,133,10,145,6,137
ENSG00000115252,137,8,134,3,5,134,8,127,10,130
ENSG00000085832,202,92,218,95,98,229,108,230,97,231
ENSG00000124831,248,136,258,130,134,227,112,250,134,275
ENSG00000163884,85,179,63,229,201,68,184,84,206,92
ENSG00000134716,5,130,8,132,133,6,127,7,131,6
ENSG00000162869,158,55,163,57,52,171,76,201,62,208
ENSG00000109180,333,232,382,280,267,380,240,371,261,399
ENSG00000114021,134,240,135,259,241,110,210,113,270,133
ENSG00000054118,270,137,270,171,163,232,159,317,186,298
ENSG00000152078,10,131,6,153,135,21,120,4,119,13
ENSG00000133059,213,86,189,67,70,169,67,192,57,183
ENSG00000182606,162,65,188,59,58,145,64,194,64,209
ENSG00000152102,221,106,237,118,116,207,98,240,121,251
ENSG00000131374,165,53,176,47,44,149,48,160,43,187
ENSG00000115486,119,227,115,246,249,119,228,109,241,127
ENSG00000144891,44,191,52,165,156,34,149,53,164,46
ENSG00000160796,143,42,165,38,38,132,39,172,43,179
ENSG00000168264,256,357,244,365,396,262,355,240,368,249
ENSG00000058668,212,74,184,84,76,190,67,194,71,188
ENSG00000187514,206,100,208,94,100,206,107,224,99,246
ENSG00000113916,106,260,123,217,240,105,218,115,223,122
ENSG00000071082,304,202,330,209,166,299,184,322,205,291
ENSG00000138709,80,200,88,194,184,78,182,67,214,71
ENSG00000115226,4,128,5,123,146,3,95,2,113,6
ENSG00000080819,17,141,38,143,141,21,142,28,157,27
ENSG00000144824,219,121,277,136,149,264,144,242,146,267
ENSG00000132463,228,117,252,124,127,210,126,235,127,271
ENSG00000184432,246,199,308,177,147,268,163,308,177,286
ENSG00000179163,218,102,209,89,99,182,77,200,77,214
ENSG00000113845,169,64,176,57,53,160,56,189,56,178
ENSG00000117242,287,190,308,175,184,247,161,320,186,292
ENSG00000158186,144,20,143,24,25,148,20,115,22,144
ENSG00000143140,108,6,130,8,6,122,5,126,4,128
ENSG00000186301,9,132,10,128,116,6,134,12,129,17
ENSG00000163812,167,51,176,57,50,162,67,168,72,200
ENSG00000124006,141,32,152,38,33,139,29,164,41,159
ENSG00000115183,145,45,190,49,47,140,49,184,56,154
ENSG00000211456,212,122,227,114,130,227,101,232,121,258
ENSG00000143569,166,79,208,64,76,186,82,200,86,197
ENSG00000151623,163,44,158,43,37,140,38,168,44,154
ENSG00000164120,132,276,128,234,226,136,232,152,272,134
ENSG00000142687,312,181,284,193,176,274,164,310,192,292
ENSG00000114200,1,105,6,132,121,6,118,5,123,4
ENSG00000172340,296,378,278,416,392,258,396,312,383,266
ENSG00000094975,155,44,165,56,46,181,42,160,39,134
ENSG00000189058,131,13,118,13,20,119,9,142,17,137
ENSG00000163687,38,152,38,144,144,21,145,40,154,26
ENSG00000143847,116,4,130,5,3,107,2,120,3,118
ENSG00000125637,82,175,69,188,187,60,175,70,201,80
ENSG00000145022,240,131,258,145,138,234,143,269,148,264
ENSG00000116237,176,60,164,68,53,148,51,173,52,184
ENSG00000164303,120,1,110,0,1,112,0,97,1,128
ENSG00000197415,118,6,126,8,10,112,8,122,10,130
ENSG00000145147,126,3,120,2,3,115,5,114,9,113
ENSG00000114738,115,43,159,36,42,147,41,175,36,151
ENSG00000197965,147,62,161,46,54,157,49,147,55,201
ENSG00000213625,126,26,126,14,18,122,27,139,24,153
ENSG00000152154,154,16,113,17,8,126,16,128,34,122
ENSG00000135638,110,0,112,2,0,79,0,130,0,120
ENSG00000163697,130,42,148,38,34,128,26,148,38,172
ENSG00000143850,246,153,248,166,151,251,157,286,204,310
ENSG00000134365,1,104,0,102,118,0,104,0,128,2
ENSG00000138760,647,616,719,597,539,680,576,714,647,671
ENSG00000128045,118,2,124,3,3,98,3,118,3,107
ENSG00000172007,29,146,29,149,150,31,138,28,106,30
ENSG00000138768,306,194,304,213,188,332,197,281,216,318
ENSG00000153201,236,130,233,153,131,261,141,265,150,250
ENSG00000117461,123,19,137,31,33,142,29,138,22,142
ENSG00000116698,222,169,225,140,122,251,131,242,137,279
ENSG00000177311,162,42,157,44,33,141,42,152,66,158
ENSG00000054523,207,129,248,119,119,223,108,219,116,230
ENSG00000137962,208,103,200,85,88,178,84,204,88,197
ENSG00000117640,382,276,330,241,259,323,232,403,305,338
ENSG00000143324,134,18,130,13,13,110,25,122,21,133
ENSG00000144445,191,78,191,98,80,180,90,197,89,212
ENSG00000144746,234,109,227,113,135,215,139,244,121,229
ENSG00000099260,26,152,41,144,145,39,136,29,140,43
ENSG00000116791,358,278,433,270,273,351,276,355,298,388
ENSG00000164039,234,131,235,145,108,218,131,247,127,236
ENSG00000018408,168,42,152,57,52,145,48,162,64,168
ENSG00000157077,159,38,139,37,41,108,36,156,47,157
ENSG00000153147,163,52,165,49,51,162,60,164,59,153
ENSG00000196187,201,88,193,96,99,184,87,212,93,205
ENSG00000196754,78,2,115,1,0,87,0,121,1,123
ENSG00000115840,98,5,110,8,7,104,10,125,12,133
ENSG00000118200,148,44,165,54,43,142,50,154,58,168
ENSG00000117115,115,2,110,2,2,106,2,102,2,110
ENSG00000109436,158,68,186,64,57,171,65,149,56,170
ENSG00000198648,112,11,122,6,8,98,8,125,9,112
ENSG00000163932,118,21,116,16,8,117,12,128,24,129
ENSG00000163320,283,174,269,182,166,276,162,288,177,270
ENSG00000143126,137,38,144,33,30,122,39,139,39,159
ENSG00000133065,119,21,128,22,26,119,21,126,25,147
ENSG00000114982,217,108,195,116,115,209,95,228,131,229
ENSG00000084073,197,113,241,150,141,215,132,252,116,242
ENSG00000157184,141,227,125,232,234,124,265,139,229,150
ENSG00000115504,126,204,136,211,248,107,195,112,222,102
ENSG00000057019,139,85,176,76,76,196,72,170,79,202
ENSG00000114850,281,160,292,176,178,289,198,284,184,252
ENSG00000170871,220,153,239,160,150,228,136,266,133,272
ENSG00000144724,124,32,113,17,19,128,26,135,26,134
ENSG00000113946,94,4,83,2,1,105,1,118,2,119
ENSG00000163050,83,165,76,184,175,62,156,78,191,65
ENSG00000138041,205,120,220,126,118,202,122,216,93,238
ENSG00000179023,176,62,158,76,51,138,57,169,78,182
ENSG00000144021,272,190,299,182,182,269,194,295,201,313
ENSG00000117632,131,22,129,18,20,116,17,119,24,119
ENSG00000136531,100,4,97,6,4,102,7,106,5,129
ENSG00000138073,108,220,122,208,187,88,219,134,226,115
ENSG00000168958,130,48,136,44,50,143,35,154,56,171
ENSG00000128710,108,0,102,0,1,101,1,107,1,98
ENSG00000173436,125,29,146,38,32,124,34,137,36,145
ENSG00000117758,169,73,174,80,67,152,65,197,70,163
ENSG00000171729,119,9,112,10,13,85,11,110,21,136
ENSG00000158019,130,28,132,38,23,109,32,138,42,153
ENSG00000116962,200,288,239,302,316,192,266,178,292,182
ENSG00000183291,279,195,291,175,187,248,172,272,197,316
ENSG00000115977,144,34,137,40,45,119,41,147,45,158
ENSG00000152952,162,73,148,72,67,157,68,178,67,196
ENSG00000213699,192,107,187,92,93,190,83,218,110,194
ENSG00000135956,255,181,276,193,164,242,142,252,172,297
ENSG00000177000,130,29,146,28,34,108,28,134,33,130
ENSG00000161202,195,98,172,92,121,182,84,218,106,213
ENSG00000142669,162,62,156,63,47,161,60,156,68,164
ENSG00000081154,182,94,193,86,90,174,72,188,72,170
ENSG00000117394,117,13,95,13,11,113,10,101,14,128
ENSG00000144028,230,139,218,131,125,207,116,242,138,239
ENSG00000154358,108,8,94,10,4,104,8,107,8,120
ENSG00000163001,130,18,138,34,24,123,30,121,32,120
ENSG00000134851,132,31,143,32,38,138,31,120,31,123
ENSG00000114446,107,16,96,23,10,105,15,130,14,127
ENSG00000198952,161,60,152,66,64,161,54,160,64,168
ENSG00000115129,104,9,108,8,5,110,8,100,10,113
ENSG00000114019,191,97,191,97,101,154,114,225,121,224
ENSG00000116977,178,78,171,87,74,163,70,187,84,184
ENSG00000138670,11,137,15,101,107,23,113,18,111,16
ENSG00000128709,94,0,92,2,2,100,3,105,2,110
ENSG00000152527,106,19,114,24,14,125,23,133,20,109
ENSG00000170854,143,54,167,58,55,146,53,139,56,166
ENSG00000164128,124,36,138,36,34,137,24,133,42,129
ENSG00000115760,254,190,240,172,192,290,170,293,196,299
ENSG00000142784,186,96,178,94,92,169,73,213,113,193
ENSG00000204217,212,116,236,128,112,216,138,222,143,229
ENSG00000123933,147,66,155,57,51,125,55,172,64,167
ENSG00000172974,115,19,124,17,16,97,8,110,12,109
ENSG00000116717,268,154,258,169,185,266,168,256,192,290
ENSG00000173641,107,17,116,19,13,102,21,127,25,123
ENSG00000163125,191,86,180,79,81,151,77,180,101,191
ENSG00000109189,107,14,131,24,8,117,23,109,31,113
ENSG00000114867,588,569,646,596,515,532,484,585,584,635
ENSG00000138385,185,95,201,86,86,165,87,197,97,170
ENSG00000138801,118,17,110,24,18,83,15,119,17,125
ENSG00000109610,111,25,102,21,30,116,21,119,22,138
ENSG00000144645,90,9,107,12,9,91,4,99,11,124
ENSG00000181458,12,96,12,111,103,5,107,4,97,10
ENSG00000068001,125,42,128,44,32,109,31,149,40,139
ENSG00000144455,152,73,174,86,77,172,86,192,78,172
ENSG00000114812,25,122,21,99,99,23,116,18,133,21
ENSG00000142875,148,60,171,69,73,155,57,164,88,169
ENSG00000003756,261,184,270,208,190,228,178,307,193,303
ENSG00000163468,263,179,232,182,179,241,154,286,182,288
ENSG00000198130,317,248,320,253,223,302,210,326,225,340
ENSG00000170142,168,85,170,64,94,172,75,155,65,176
ENSG00000144567,233,144,218,114,133,205,119,227,167,235
ENSG00000168924,141,42,142,35,44,101,41,143,40,128
ENSG00000168159,263,159,263,195,176,234,154,274,191,279
ENSG00000065548,287,192,316,210,190,248,182,264,206,294
ENSG00000154447,144,43,131,53,44,128,44,147,46,142
ENSG00000143393,182,71,166,66,68,145,85,167,87,170
ENSG00000115221,92,1,99,3,1,90,1,85,1,103
ENSG00000114316,172,82,180,77,88,146,88,165,80,198
ENSG00000180875,3,79,2,84,96,4,104,4,109,3
ENSG00000115963,28,132,35,128,127,41,93,34,140,35
ENSG00000160746,118,16,104,24,11,109,22,102,22,119
ENSG00000163820,175,82,178,81,95,171,88,178,85,186
ENSG00000134108,217,150,231,149,126,236,116,215,141,229
ENSG00000154305,116,209,110,176,210,108,204,128,214,106
ENSG00000007001,96,13,108,15,19,91,23,112,13,125
ENSG00000115282,70,146,66,154,142,62,178,68,164,70
ENSG00000163762,80,7,93,10,6,84,11,116,7,113
ENSG00000163328,149,69,155,71,60,159,68,161,69,167
ENSG00000143375,164,280,177,270,261,168,250,191,276,196
ENSG00000117228,35,105,23,137,114,27,122,31,120,33
ENSG00000081307,162,72,163,70,72,158,69,161,67,161
ENSG00000049245,146,56,135,56,64,143,50,155,56,154
ENSG00000047410,169,274,185,294,263,167,256,184,250,198
ENSG00000074054,213,122,203,103,124,175,101,216,130,207
ENSG00000174574,146,47,165,66,68,136,72,162,71,157
ENSG00000156875,147,68,178,57,86,155,63,151,69,153
ENSG00000144043,222,167,234,170,158,180,153,280,168,271
ENSG00000122068,146,76,172,91,90,170,85,178,79,192
ENSG00000123684,56,147,75,170,154,56,147,62,134,62
ENSG00000163536,101,4,95,6,8,85,7,112,8,85
ENSG00000143398,161,63,129,67,70,140,55,164,67,165
ENSG00000179833,81,149,99,208,190,90,170,102,179,101
ENSG00000146463,161,75,185,98,73,154,78,161,70,169
ENSG00000163257,126,48,123,56,49,134,37,137,31,141
ENSG00000075568,172,74,167,81,81,151,82,134,71,190
ENSG00000047849,108,26,122,22,22,101,22,110,29,122
ENSG00000198612,121,28,117,34,36,127,33,118,32,124
ENSG00000183199,142,55,135,39,46,130,45,128,41,133
ENSG00000213901,95,3,94,7,8,75,2,98,2,100
ENSG00000164168,110,29,89,23,28,108,18,104,20,137
ENSG00000002549,192,127,200,117,122,184,102,235,141,214
ENSG00000119729,129,56,154,57,47,125,51,157,52,130
ENSG00000144908,363,260,338,261,242,321,247,341,309,353
ENSG00000163714,216,170,241,146,148,218,155,263,169,262
ENSG00000198793,204,113,198,133,119,174,119,226,124,224
ENSG00000116128,106,34,110,35,41,120,17,124,25,126
ENSG00000163728,147,68,144,58,73,144,56,146,62,169
ENSG00000169908,134,42,139,50,43,126,40,130,52,136
ENSG00000172939,174,94,186,82,97,189,107,165,93,190
ENSG00000143727,154,87,193,108,77,184,85,176,103,175
ENSG00000114978,90,24,120,21,20,135,25,104,26,87
ENSG00000008130,79,173,82,153,161,91,145,93,204,80
ENSG00000084623,165,86,159,101,84,176,81,180,87,187
ENSG00000114686,150,63,140,54,55,139,39,140,65,136
ENSG00000067704,275,192,274,196,192,267,194,299,222,298
ENSG00000144659,93,185,89,160,161,71,158,83,176,79
ENSG00000178035,129,34,133,43,33,112,42,138,47,114
ENSG00000162772,110,22,111,31,16,108,18,111,26,106
ENSG00000075945,135,25,119,40,32,107,33,123,34,107
ENSG00000145439,162,235,150,249,206,152,224,144,264,162
ENSG00000138398,336,417,354,437,397,334,425,310,428,374
ENSG00000164091,169,91,176,88,100,171,77,181,90,179
ENSG00000143344,113,19,110,30,38,111,26,109,25,125
ENSG00000003402,128,72,132,52,46,108,42,158,56,151
ENSG00000114503,188,105,193,98,91,182,102,182,107,189
ENSG00000160789,128,47,108,52,41,127,41,146,54,146
ENSG00000176095,129,51,136,55,52,134,60,168,68,139
ENSG00000158715,20,97,17,113,99,21,109,19,111,22
ENSG00000035928,227,163,241,170,181,269,149,263,173,248
ENSG00000162551,180,110,174,124,92,180,95,192,99,209
ENSG00000162399,95,1,68,1,1,84,2,83,0,100
ENSG00000154783,99,17,95,20,11,80,24,116,12,114
ENSG00000127125,151,78,171,78,86,165,81,153,76,182
ENSG00000135838,82,8,95,13,3,89,7,98,16,108
ENSG00000128654,106,39,132,30,29,124,25,118,38,103
ENSG00000078070,183,114,201,108,126,178,118,210,106,214
ENSG00000169255,82,5,103,6,4,66,7,82,7,110
ENSG00000181061,153,93,184,106,117,192,112,199,106,209
ENSG00000159377,241,173,255,176,151,250,157,258,188,254
ENSG00000144481,0,84,2,96,84,0,83,0,77,0
ENSG00000075711,156,52,138,54,57,121,58,126,76,160
ENSG00000115616,76,2,88,4,2,82,2,80,0,102
ENSG00000115866,186,131,205,144,118,219,111,190,130,231
ENSG00000076356,98,28,90,27,28,134,18,101,30,115
ENSG00000132153,117,43,118,42,39,103,36,150,56,132
ENSG00000116604,137,66,129,53,52,119,52,148,65,160
ENSG00000162923,216,143,210,118,115,200,117,195,128,209
ENSG00000135945,177,77,149,68,77,164,81,138,74,156
ENSG00000169714,574,494,582,518,494,531,464,606,540,533
ENSG00000138002,113,22,105,30,29,96,29,119,36,124
ENSG00000115145,120,34,107,29,32,113,21,111,36,116
ENSG00000036257,222,140,240,159,146,235,156,232,162,244
ENSG00000143252,163,98,163,98,102,160,79,191,90,191
ENSG00000136731,135,78,166,82,73,148,63,165,70,158
ENSG00000090316,153,54,158,64,69,137,62,149,68,125
ENSG00000152953,88,4,66,1,0,74,0,102,1,82
ENSG00000144895,146,90,168,93,95,196,92,172,105,188
ENSG00000116761,22,134,26,112,114,36,108,38,100,42
ENSG00000183853,78,6,85,3,4,77,3,89,5,102
ENSG00000031698,178,120,190,144,107,196,128,214,134,235
ENSG00000151779,118,31,107,34,43,107,30,126,41,129
ENSG00000085491,98,7,92,7,10,80,9,96,22,98
ENSG00000114999,147,43,91,42,48,119,52,114,37,138
ENSG00000038210,44,138,63,135,135,48,130,44,121,53
ENSG00000170144,220,156,245,140,138,208,148,242,150,212
ENSG00000068885,113,37,129,50,36,128,39,113,32,117
ENSG00000215845,113,28,106,29,30,106,42,125,26,111
ENSG00000170500,73,10,68,5,8,87,8,97,5,108
ENSG00000119812,152,94,161,103,77,153,76,174,100,195
ENSG00000144579,294,324,275,350,328,238,290,256,376,277
ENSG00000188971,89,19,90,13,15,119,17,85,25,103
ENSG00000117525,83,20,98,24,22,86,26,112,19,124
ENSG00000084070,68,164,78,123,160,64,148,71,160,84
ENSG00000160752,292,256,284,248,210,251,206,310,262,345
ENSG00000158089,71,5,87,1,4,88,3,89,2,84
ENSG00000142657,166,82,159,63,79,138,78,138,89,177
ENSG00000143970,120,54,122,57,38,123,50,141,54,144
ENSG00000115204,120,39,129,31,29,99,36,106,42,120
ENSG00000116857,167,114,161,107,87,148,86,206,97,181
ENSG00000144040,142,213,133,223,226,111,183,163,213,137
ENSG00000157014,154,79,130,82,91,156,77,167,90,190
ENSG00000071073,100,22,104,23,25,102,24,105,22,108
ENSG00000172046,91,51,110,30,36,84,28,118,32,144
ENSG00000143570,252,171,242,156,143,225,153,235,181,237
ENSG00000156931,108,37,115,53,55,156,45,139,54,95
ENSG00000214193,92,2,72,4,7,62,1,84,2,98
ENSG00000158417,584,610,630,590,570,591,531,629,527,659
ENSG00000117362,210,290,197,249,272,192,269,210,307,205
ENSG00000071794,123,45,126,44,27,109,37,118,38,111
ENSG00000079335,84,2,74,4,4,70,4,100,6,86
ENSG00000114698,56,154,84,158,148,82,147,61,143,76
ENSG00000115816,166,78,154,96,98,153,91,181,87,183
ENSG00000143321,477,600,484,562,556,538,579,527,592,522
ENSG00000162413,146,70,145,74,67,146,60,148,80,161
ENSG00000170017,111,201,122,204,161,105,199,127,199,120
ENSG00000134686,296,252,321,254,203,278,205,313,266,308
ENSG00000109684,81,1,92,0,1,63,1,81,0,79
ENSG00000178149,190,143,185,127,115,199,111,204,138,229
ENSG00000130939,167,85,161,74,77,127,74,158,108,175
ENSG00000163545,107,26,100,16,15,86,22,95,24,107
ENSG00000109511,1,83,2,87,77,1,77,2,78,0
ENSG00000163825,5,90,4,96,71,3,64,1,81,2
ENSG00000172936,66,118,51,154,124,57,119,51,153,68
ENSG00000162618,81,24,105,16,20,109,22,103,19,91
ENSG00000071054,176,230,150,248,251,185,248,178,277,207
ENSG00000115594,187,283,187,232,267,194,250,209,306,237
ENSG00000163959,12,75,14,95,94,6,86,17,90,2
ENSG00000143622,92,24,104,30,28,102,21,90,25,124
ENSG00000138777,143,77,146,97,84,170,72,158,71,165
ENSG00000143390,101,25,114,36,29,118,19,100,35,98
ENSG00000116871,112,40,106,29,27,78,24,118,26,110
ENSG00000152904,102,38,107,29,38,121,32,95,33,127
ENSG00000065526,197,128,197,125,102,170,126,200,130,217
ENSG00000187147,145,70,138,70,73,116,75,140,57,173
ENSG00000115556,88,4,84,6,6,72,6,76,4,93
ENSG00000136717,128,52,118,54,44,96,40,138,44,129
ENSG00000196352,92,19,91,22,14,83,12,92,20,112
ENSG00000116584,110,26,105,23,35,93,20,106,34,108
ENSG00000115425,66,140,68,147,124,67,139,73,168,70
ENSG00000083896,259,202,281,196,191,260,200,292,216,284
ENSG00000117593,110,27,119,28,33,102,24,92,28,98
ENSG00000115694,141,72,156,92,80,135,93,184,78,162
ENSG00000065978,113,42,124,43,40,103,40,120,39,126
ENSG00000168542,266,294,247,292,318,254,260,258,371,235
ENSG00000168906,340,297,343,297,283,313,280,382,277,385
ENSG00000198691,79,0,88,2,1,78,1,61,1,80
ENSG00000163539,137,52,132,39,54,131,62,129,66,123
ENSG00000142864,301,239,290,207,199,260,192,264,200,273
ENSG00000109775,99,19,100,26,28,96,25,115,26,96
ENSG00000065802,110,41,119,32,31,90,39,127,36,107
ENSG00000120341,34,102,30,103,110,24,100,26,117,38
ENSG00000066322,134,42,115,59,56,135,52,127,82,145
ENSG00000115415,99,47,126,44,29,115,24,93,35,114
ENSG00000114023,180,109,177,116,106,177,116,210,112,186
ENSG00000171793,38,116,30,108,95,29,110,36,110,28
ENSG00000085760,148,94,180,98,100,169,98,161,102,197
ENSG00000178467,88,22,77,23,13,80,18,114,20,104
ENSG00000171735,85,19,92,19,16,108,15,82,12,88
ENSG00000124406,91,18,96,18,8,90,10,78,15,90
ENSG00000145337,163,101,208,109,113,164,104,160,117,198
ENSG00000117266,88,20,89,24,17,84,28,107,29,117
ENSG00000187145,171,82,156,91,74,147,82,165,105,162
ENSG00000076201,135,50,111,61,54,104,39,130,40,127
ENSG00000142892,124,37,113,44,32,108,36,102,38,112
ENSG00000168374,204,149,222,142,138,198,155,219,149,245
ENSG00000078808,234,192,212,162,154,180,155,268,220,242
ENSG00000114742,144,92,151,76,70,146,73,144,71,164
